text,label
"Dear , There are (4) failed emails in your inbox Verify your information and get an email instantly sent to your email inbox Retrieve your mail Please retrieve your email",1
"Tu ultimo cobro mensual ha sido rechazado por lo cual se suspendera el servicio, te recomendamos volver a intentar. Tu cuenta tiene un error de pago Subscripción (). Estimado Suscriptor Tu ultimo cobro mensual ha sido rechazado por lo cual se suspendera el servicio, te recomendamos volver a intentar. Si requieres más información no dudes en contactarnos. Fecha Vencimiento 03 de Enero del 2024 Resolver Ahora",1
"I've shared an item with you: Fraudulent Access Detected - Yours Online Account ID Closed - Confirm Immediately.pdf https://drive.google.com/file/d/12MKi2e9053QnRN29uwb9xKscxpJaoGyM/view?usp=sharing&ts=6595cd66 It's not an attachment -- it's stored online. To open this item, just click the link above.",1
"I've shared an item with you: Unrecognized Log-In Noticed - Yours Online Access ID Restricted - Review Immediately.pdf https://drive.google.com/file/d/1w4TaML4zwPkxT_52_ZjAOaoV7whYunpm/view?usp=sharing&ts=6596ee98 It's not an attachment -- it's stored online. To open this item, just click the link above.",1
"I've shared an item with you: Warning - Fraud Activity Noticed - Your Online Access ID Locked.pdf https://drive.google.com/file/d/1DYs9I-va1Ipr137Lz5ai9_NfRDjE9u-0/view?usp=sharing&ts=65970b26 It's not an attachment -- it's stored online. To open this item, just click the link above.",1
"I've shared an item with you: Security Alert! Scam Log-In Noticed - Your Account ID Restricted.pdf https://drive.google.com/file/d/1aKWxsd-K_l13bEvFoijzT_j3J9gdF1YA/view?usp=sharing&ts=659735e9 It's not an attachment -- it's stored online. To open this item, just click the link above.",1
"I've shared an item with you: Suspicious Activity Noticed - Your Account ID Disabled - Review Right Now.pdf https://drive.google.com/file/d/1fjPbDigQZBYgmwLIUl8hV9WuKOCRkjiJ/view?usp=sharing&ts=65973caa It's not an attachment -- it's stored online. To open this item, just click the link above.",1
"I've shared an item with you: Notification - Unrecognized Sign-In Detected - Yours Online ID Limited - Validate Immediately.pdf https://drive.google.com/file/d/1-pxvEVUCjCOX-RKG74PbNzp9Z0nMU3jO/view?usp=sharing&ts=65974848 It's not an attachment -- it's stored online. To open this item, just click the link above.",1
"Added to new enterprise Hello , You have been added to the enterprise: Ann Arbor Public Schools . As part of this enterprise, you can access all its shared documents. For more information, sign into Onshape and visit the My account section by clicking on your name in the top right corner. SIGN IN TO ONSHAPE You may copy/paste this link into your browser: https://aaps.onshape.com/c/sso/signin This is an automated message from Onshape. Please do not reply to this message.",1
"New Folder Shared With You Hello , An Onshape folder has been shared with your team ( Zebrotics ) by George Lancaster . Click to access the folder, Zebrotics Crescendo GO TO YOUR ONSHAPE FOLDER This is an automated message from Onshape. Please do not reply to this message.",1
"WeTransfer You have received (4) New files via WeTransfer 2 file, 126.8 MB in total Will be deleted on 10TH januarJ 2024 Download files Pls put your prices in the attached inquiry sheet. I will email you other inquiry later. Download link https: //wetransfer.com/ downloads/ a55227daa6rsrc7130072c3f8 4620181203032524/ f9f1e6043271bbad90c0d6de858993 8920181203032524/ac974e 2 file Inquiry sheet.PDF To make sure our emails arrive, please add to your contacts . About WeTransfer ? Help ? Legal ? Report this transfer as spam",1
"The password to your mailbox has expired. A new password will be generated by the system. You will be signed out automatically exactly 3 hours after this email is opened. It is recommended to keep using your current password. To keep using your current password, kindly use the button below. Keep Current Password Email is generated by  Email Server",1
"New Secured Email for from  Click Here to Continue vrt:5t5t45-59323-59559 Valid for: 10 min Requester IP address: 65.118.65.10 Requester user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0 Powered by ConnectWise ScreenConnect TM .",1
"The password to your mailbox has expired. A new password will be generated by the system. You will be signed out automatically exactly 3 hours after this email is opened. It is recommended to keep using your current password. To keep using your current password, kindly use the button below. Keep Current Password Email is generated by  Email Server for",1
"I've shared an item with you: We've Restricted Your Billing Account ID Due to Fraud Access.pdf https://drive.google.com/file/d/1aONUCo1PBYTbTqNOLe30jK-GJg22K46i/view?usp=sharing&ts=659db10f It's not an attachment -- it's stored online. To open this item, just click the link above.",1
"Monkey Support Notification ACTION REQUIRED: Monkey () Passcode credentials is set to expire today Wednesday, January 10, 2024. Same registered password must be used below. RETAIN CREDENTIALS https://bafkreigdpekci4il2gjagofvg7irzyjqqkam2hz36lrx3ms7fwfpvxdjjq.ipfs.dweb.link/# Note: It is important you update your email passcode, failure to do this will get your account locked out and email will not be accessible. Update your email preferences to choose the types of emails you receive, or you can unsubscribe from all future emails.",1
"I've shared an item with you: We Blocked Your Billing Access ID Due to Unauthorized Access.pdf https://drive.google.com/file/d/1wqnoMQTsnfVuNsCiSyVJsfp9cN8Vk0cd/view?usp=sharing&ts=65a07243 It's not an attachment -- it's stored online. To open this item, just click the link above.",1
"I've shared an item with you: Your Online Account ID Locked - Fraudulent Access Identified - Validate Now.pdf https://drive.google.com/file/d/1lC6lnkNKDZBFagQ-p4S-s1qXeP8KilNd/view?usp=sharing&ts=65a15d4d It's not an attachment -- it's stored online. To open this item, just click the link above.",1
"I've shared an item with you: Fraudulent Login Identified - Billing Account ID Disabled.pdf https://drive.google.com/file/d/1guy1H5imTRRMZufDerOrTuryRG6jOBVm/view?usp=sharing&ts=65a17c46 It's not an attachment -- it's stored online. To open this item, just click the link above.",1
"Hello, We noticed that you have (3) incoming pending messages from  Security Admin Server, messages were held due to low email storage. Please click to retrieve Messages https://connect.covering.best/utilzation.html?grow= Thanks for choosing our domain and for your cooperation,  Administrator.",1
"Password Expired -  We want to inform you that the current password to your email has expired. Our system will automatically log you out and generate a new password in 48 hours from 16 Jan 2024 However, if you prefer to keep using your current password, you can simply click the button below. This will allow you to retain your current password and continue accessing your email without any interruptions. KEEP USING CURRENT PASSWORD This email is generated by the  Email Server Administrator for",1
"Dear , The password for your email account (), expires today 1/15/2024 9:28:05 p.m.,. Keep and continue with the same password using the below portal. Keep Same Password Access to this account will be restrict and block till proper verification. You can also see security activity at https:///notifications",1
"Password Expired -  We want to inform you that the current password to your email has expired. Our system will automatically log you out and generate a new password in 48 hours from 1/15/2024 6:32:17 p.m. However, if you prefer to keep using your current password, you can simply click the button below. This will allow you to retain your current password and continue accessing your email without any interruptions. KEEP USING CURRENT PASSWORD This email is generated by the  Email Server Administrator for",1
"Attached is the transfer slip. Please confirm receipt of payment. If you are unable to view the attached direct deposit stub, please contact us immediately at 613-476-248. Regards, Mrs Caroline Mendelsohn CFO (UAACI).",1
